season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,502.0,Saraperos de Saltillo,685694,Keven Lamas,SS,37,37,28,10,1,5,19,8,0,52,6,0.371,140,0.426,0.564,0.99,1,2,66.7,5,619,155,79,25,58,0,1,0.402,1.12,28.0,SLT,
2024,502.0,Saraperos de Saltillo,593772,Yeison Asencio,LF,19,20,5,5,0,1,9,3,1,25,0,0.352,71,0.378,0.465,0.843,0,0,,2,228,74,33,16,32,0,0,0.393,1.18,71.0,SLT,
2024,502.0,Saraperos de Saltillo,518542,Juan Centeno,C,44,31,12,8,0,1,24,17,0,42,4,0.347,121,0.438,0.438,0.876,0,0,,5,576,147,53,22,48,2,2,0.418,1.11,121.0,SLT,
2024,502.0,Saraperos de Saltillo,656352,Braxton Davidson,X,2,0,0,0,0,0,2,0,0,1,0,0.333,3,0.333,0.333,0.666,0,0,,0,16,3,1,1,3,0,0,1.0,,,SLT,
2024,502.0,Saraperos de Saltillo,585133,Arturo Rodriguez,C,22,9,8,6,0,1,10,4,0,17,0,0.333,51,0.362,0.51,0.872,0,0,,0,215,61,26,12,14,3,3,0.372,0.43,51.0,SLT,
2024,502.0,Saraperos de Saltillo,679589,Fernando Villegas,RF,88,86,70,15,2,12,53,35,0,104,10,0.328,317,0.406,0.502,0.908,4,4,50.0,10,1410,368,159,58,148,1,5,0.358,1.08,26.42,SLT,
2024,502.0,Saraperos de Saltillo,625329,Henry Urrutia,1B,42,33,21,9,1,3,27,18,1,48,2,0.327,147,0.407,0.463,0.87,0,2,100.0,2,630,167,68,26,63,0,0,0.385,0.85,49.0,SLT,
2024,502.0,Saraperos de Saltillo,606143,Alejandro Mejia,1B,35,33,24,4,1,8,36,12,2,43,1,0.316,136,0.373,0.537,0.91,2,0,0.0,4,531,150,73,30,68,0,1,0.376,1.32,17.0,SLT,
2024,502.0,Saraperos de Saltillo,661311,Brandon Villarreal,LF,59,61,29,8,0,0,24,9,0,50,10,0.313,160,0.383,0.363,0.746,4,6,60.0,1,619,185,58,12,48,5,1,0.365,1.97,,SLT,
2024,502.0,Saraperos de Saltillo,591572,Jose Aguilar,CF,36,28,18,1,0,2,13,15,0,25,5,0.305,82,0.437,0.39,0.827,2,0,0.0,4,451,105,32,5,45,2,1,0.338,1.47,41.0,SLT,
2024,502.0,Saraperos de Saltillo,606213,Yermín Mercedes,DH,75,62,55,13,1,11,53,27,2,85,6,0.3,283,0.372,0.47,0.842,1,8,88.9,8,1223,317,133,41,124,0,1,0.336,0.74,25.73,SLT,
