season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%
2024,528.0,Rieleros de Aguascalientes,650957,Andretty Cordero,3,1B,402,195.0,145.0,4.0,4,0.365,43.0,2.0,14.0,83.0,1350,3.358,7.2,12.9,0.035,0.558,0.196,5.0,1.0,56,701,185,319,22,17,100,27,0,48,49,AGS,14,52,29,363,124,16.9,13.7,26.4,26.0,46.7,20.4,6.9,0.05700000000000001
2024,528.0,Rieleros de Aguascalientes,542513,Tomás Telis,2,C,180,64.0,60.0,4.0,2,0.394,9.0,3.0,10.0,32.0,604,3.356,7.8,14.4,0.006,0.538,0.07,1.0,0.0,18,290,59,137,5,6,55,6,0,21,26,AGS,1,26,14,157,53,4.2,9.8,20.3,17.5,59.1,19.7,3.6,0.06599999999999999
2024,528.0,Rieleros de Aguascalientes,653248,Amilcar Gomez,9,RF,21,6.0,6.0,0.0,0,0.462,0.0,1.0,0.0,1.0,72,3.429,9.5,23.8,0.0,0.4,0.0,0.0,0.0,3,38,12,13,0,2,2,2,0,2,2,AGS,0,5,2,18,6,0.0,16.7,31.6,38.5,30.8,30.8,0.0,0.143
2024,528.0,Rieleros de Aguascalientes,608608,Carlos Munoz,3,1B,38,20.0,8.0,0.0,1,0.292,4.0,1.0,1.0,4.0,136,3.579,13.2,13.2,0.079,1.0,0.323,0.0,0.0,5,61,13,27,3,2,7,3,0,4,3,AGS,3,5,5,31,10,37.5,9.6,21.3,29.6,37.0,22.2,11.1,0.0
2024,528.0,Rieleros de Aguascalientes,540204,Ramon Rios,4,2B,323,121.0,146.0,6.0,1,0.329,16.0,4.0,22.0,75.0,966,2.991,4.0,5.0,0.012,0.813,0.084,4.0,1.0,44,499,64,290,22,11,117,10,2,39,45,AGS,4,16,13,299,96,7.4,6.6,12.8,18.6,55.9,17.2,8.3,0.010000000000000002
2024,528.0,Rieleros de Aguascalientes,553902,Willians Astudillo,5,3B,164,63.0,47.0,3.0,1,0.307,11.0,10.0,3.0,28.0,476,2.902,3.7,1.2,0.018,3.0,0.118,1.0,0.0,21,247,27,146,22,8,49,8,1,24,13,AGS,3,2,6,144,46,10.3,5.7,10.9,19.9,42.5,21.9,15.8,-0.024999999999999998
2024,528.0,Rieleros de Aguascalientes,571685,Anthony García,9,RF,82,37.0,36.0,0.0,1,0.356,7.0,2.0,4.0,15.0,321,3.915,2.4,19.5,0.037,0.125,0.169,1.0,0.0,15,169,46,62,5,2,16,10,0,12,2,AGS,3,16,2,77,24,12.0,14.3,27.2,40.3,29.0,22.6,8.1,0.171
2024,528.0,Rieleros de Aguascalientes,553891,Leonardo Reginatto,3,1B,332,131.0,142.0,0.0,3,0.332,24.0,3.0,12.0,49.0,1269,3.822,11.1,18.4,0.033,0.607,0.163,1.0,0.0,49,507,116,231,19,22,57,16,0,40,28,AGS,11,61,37,289,84,16.9,9.1,22.9,28.1,36.8,26.8,8.2,0.073
2024,528.0,Rieleros de Aguascalientes,660659,Leobaldo Cabrera,7,LF,315,131.0,125.0,2.0,3,0.342,27.0,2.0,15.0,52.0,1243,3.946,12.4,21.9,0.041,0.565,0.197,4.0,0.0,29,522,150,205,22,10,66,22,0,34,22,AGS,13,69,39,269,78,25.5,12.1,28.7,24.9,42.9,21.5,10.7,0.095
2024,528.0,Rieleros de Aguascalientes,668616,Marco Jaime,6,SS,223,65.0,87.0,1.0,2,0.331,10.0,2.0,5.0,37.0,825,3.7,13.9,13.0,0.0,1.069,0.064,3.0,0.0,27,326,50,161,10,8,63,4,0,25,24,AGS,0,29,31,187,53,0.0,6.1,15.3,19.3,54.0,20.5,6.2,-0.009000000000000008
